smiles,fitness,score,generation
O=c1c2cc3c(=O)n(-c4ccc(I)c(Cl)c4Cl)c(=O)c3cc2c(=O)n1I,0.914032,0.7137034,39.0
O=c1c2cc3c(=O)n(-c4ccc(I)c(Cl)c4Cl)c(=O)c3cc2c(=O)n1I,0.914032,0.7137034,40.0
O=c1c2cc3c(=O)n(-c4ccc(I)c(Cl)c4Cl)c(=O)c3cc2c(=O)n1I,0.914032,0.7137034,41.0
O=c1c2cc3c(=O)n(-c4ccc(I)c(Cl)c4Cl)c(=O)c3cc2c(=O)n1I,0.914032,0.7137034,42.0
O=c1c2cc3c(=O)n(-c4ccc(I)c(Cl)c4Cl)c(=O)c3cc2c(=O)n1I,0.914032,0.7137034,43.0
O=c1c2cc3c(=O)n(-c4ccc(I)c(Cl)c4Cl)c(=O)c3cc2c(=O)n1I,0.914032,0.7137034,44.0
O=c1c2cc3c(=O)n(-c4ccc(I)c(Cl)c4Cl)c(=O)c3cc2c(=O)n1I,0.914032,0.7137034,45.0
O=c1c2cc3c(=O)n(-c4ccc(I)c(Cl)c4Cl)c(=O)c3cc2c(=O)n1I,0.914032,0.7137034,46.0
O=c1c2cc3c(=O)n(-c4ccc(I)c(Cl)c4Cl)c(=O)c3cc2c(=O)n1I,0.914032,0.7137034,47.0
O=c1c2cc3c(=O)n(-c4ccc(I)c(Cl)c4Cl)c(=O)c3cc2c(=O)n1I,0.914032,0.7137034,48.0
O=c1c2cc3c(=O)n(-c4ccc(I)c(Cl)c4Cl)c(=O)c3cc2c(=O)n1I,0.914032,0.7137034,49.0
O=c1c2cc3c(=O)n(-c4ccc(I)c(Cl)c4Cl)c(=O)c3cc2c(=O)n1I,0.914032,0.7137034,50.0
O=c1c2cc3c(=O)n(-c4ccc(I)c(Cl)c4Cl)c(=O)c3cc2c(=O)n1I,0.914032,0.7137034,51.0
O=c1c2cc3c(=O)n(-c4ccc(I)c(Cl)c4Cl)c(=O)c3cc2c(=O)n1I,0.914032,0.7137034,52.0
O=c1c2cc3c(=O)n(-c4ccc(I)c(Cl)c4Cl)c(=O)c3cc2c(=O)n1I,0.914032,0.7137034,53.0
O=c1c2cc3c(=O)n(-c4ccc(I)c(Cl)c4Cl)c(=O)c3cc2c(=O)n1I,0.914032,0.7137034,54.0
O=c1c2cc3c(=O)n(-c4ccc(I)c(Cl)c4Cl)c(=O)c3cc2c(=O)n1I,0.914032,0.7137034,55.0
O=c1c2cc3c(=O)n(-c4ccc(I)c(Cl)c4Cl)c(=O)c3cc2c(=O)n1I,0.914032,0.7137034,56.0
O=c1c2cc3c(=O)n(-c4ccc(I)c(Cl)c4Cl)c(=O)c3cc2c(=O)n1I,0.914032,0.7137034,57.0
O=c1c2cc3c(=O)n(-c4ccc(I)c(Cl)c4Cl)c(=O)c3cc2c(=O)n1I,0.914032,0.7137034,58.0
O=c1c2cc3c(=O)n(-c4ccc(I)c(Cl)c4Cl)c(=O)c3cc2c(=O)n1I,0.914032,0.7137034,59.0
O=c1c2cc3c(=O)n(-c4ccc(I)c(Cl)c4Cl)c(=O)c3cc2c(=O)n1I,0.914032,0.7137034,60.0
O=c1c2cc3c(=O)n(-c4ccc(I)c(Cl)c4Cl)c(=O)c3cc2c(=O)n1I,0.914032,0.7137034,61.0
O=c1c2cc3c(=O)n(-c4ccc(I)c(Cl)c4Cl)c(=O)c3cc2c(=O)n1I,0.914032,0.7137034,62.0
O=c1c2cc3c(=O)n(-c4ccc(I)c(Cl)c4Cl)c(=O)c3cc2c(=O)n1I,0.914032,0.7137034,63.0
O=c1c2cc3c(=O)n(-c4ccc(I)c(Cl)c4Cl)c(=O)c3cc2c(=O)n1I,0.914032,0.7137034,64.0
O=c1c2cc3c(=O)n(-c4ccc(I)c(Cl)c4Cl)c(=O)c3cc2c(=O)n1I,0.914032,0.7137034,65.0
O=c1c2cc3c(=O)n(-c4ccc(I)c(Cl)c4Cl)c(=O)c3cc2c(=O)n1I,0.914032,0.7137034,66.0
O=c1c2cc3c(=O)n(-c4ccc(I)c(Cl)c4Cl)c(=O)c3cc2c(=O)n1I,0.914032,0.7137034,67.0
O=c1c2cc3c(=O)n(-c4ccc(I)c(Cl)c4Cl)c(=O)c3cc2c(=O)n1I,0.914032,0.7137034,68.0
