bit,mean_abs,mean_signed,impact,idf
811,13.984485795647842,0.747288208453986,10.45044133637989,1.3772156971866867
1076,12.7842303886796,-0.5002582863632032,-6.395417186713244,0.13866454473627077
1839,9.525743852566189,0.5271191894875933,5.021202378831114,1.2822947711014059
350,8.427761476262354,-0.2184692236801636,-1.841206507080626,1.363515774230551
1571,8.319981798327436,-0.2040670192098834,-1.6978338854651653,1.363515774230551
1691,4.480499884071746,0.1963997529369723,0.8799690702658238,1.4184870289420914
1160,3.057726210250584,-0.3245674453599834,-0.9924383846712955,1.009612889105528
59,2.731621545128274,0.3608094491459218,0.9855948649728643,1.3630466944002002
863,2.720286595240052,0.3517363332677188,0.956823632447063,1.3630466944002002
1411,2.59326212544356,0.3293406862193657,0.8540667279402728,1.3630466944002002
695,2.167614672696411,0.0840857906862561,0.18226559365680794,1.3239582635375196
1370,1.9978262310885675,0.1911763585483999,0.3819371438719864,1.9460301562558893
1617,1.9875073128882708,0.0722907641222332,0.14367842234721953,1.3239582635375196
1025,1.7204939396377128,0.21405697286456,0.3682837245506698,1.8853231750063704
1430,1.696821187640029,0.0420864264366623,0.07141314008978204,1.1147416705979933
9,1.5664001969897607,0.1476527419734822,0.23128328411334081,1.0514806419358387
1453,1.2024343933199508,-0.1330208623763181,-0.15994885995036473,1.1988526016313645
1921,1.1728344078307584,0.2629632305080602,0.308412324734184,3.810369351701646
378,1.1581629777617295,0.0358465263938856,0.04151611975075698,0.8579746550513192
1074,1.1580304746843229,-0.0119892957467566,-0.013883969844747279,1.9575779539229954
1391,1.1534498374874416,0.1636002522873231,0.1887046844137173,0.3481683705020557
1535,1.1319662209213124,0.0317528907528663,0.03594319974884935,0.8579746550513192
885,0.9907816280724808,0.0677727391844915,0.06714798486814211,1.529056800487288
1039,0.9799074278113376,0.0370766814125914,0.03633171551479287,0.47064383413315886
552,0.9477250803095406,-0.0998067866048548,-0.0945893948505232,1.1089657007476013
1322,0.919453197020862,0.0558616269067863,0.05136215145023128,1.8766639763184991
252,0.8016908959002971,-0.3890723594764866,-0.31191576843874697,2.626654562898216
1199,0.7676760329807992,-0.15392710129674,-0.118166146491715,2.1849798509197824
213,0.7657776023523619,0.0644258561455331,0.04933587764862452,2.4144109081763023
322,0.7631320013874788,0.0535771845846813,0.04088646410081422,1.1040671393510735
944,0.7625851061628488,-0.0632698442196763,-0.04824864087116876,1.7561992938295041
216,0.7502962790213946,-0.2621409219898895,-0.19668335834825176,3.091362504569241
1066,0.647921703283164,-0.1026513376832566,-0.06651002955603086,3.181580040124504
277,0.6139559361193427,-0.1835122418066266,-0.11266843020774661,2.9363319302725435
1296,0.5846795583672915,0.0474175016481836,0.0277240439225403,2.734291512307437
80,0.5789689773651564,-0.0050239211384531,-0.002908694483893384,1.3688474475161698
561,0.5363999296723417,-0.0037356834645782,-0.0020038203476778764,1.3477661954145503
385,0.510893993607666,-0.1383195091918752,-0.07066660644488938,3.0652967369399002
640,0.5099642876932156,0.2144478826281561,0.10936076171178591,3.213390894637631
835,0.4931184467659315,-0.0827350909506831,-0.04079819954263892,1.8545714816399252
1476,0.4871378425155173,-0.0736539590767783,-0.03587963071738798,1.2631567976793838
357,0.4791883738264326,-0.1103701268462234,-0.05288808160245888,2.6115589009134488
701,0.4736984236217881,0.1599962927170677,0.07578999164540515,1.9121659430911526
715,0.4512450790810922,-0.0370079296758966,-0.016699646153227457,1.237805392862388
1683,0.4399979619830345,-0.043056802928948,-0.018944905538242268,1.3475352929698068
1003,0.4202390570161096,0.0722020894104911,0.03034213796845761,2.799179134513312
319,0.3964799614480904,-0.0365004616606998,-0.014471701632071758,0.9549795864892667
366,0.3683885828213672,-0.0135272673879137,-0.004983290862479226,1.7812944193802909
1088,0.3648891747661328,0.0604036862841269,0.02204065124104744,0.3984795639344523
1722,0.3622463640250001,0.037509798177692,0.0135877880051805,0.31781143743329293
1011,0.358348676890564,0.0794369510302456,0.028466126297909036,2.958821919533894
1252,0.3565168900837086,0.065463939446045,0.023339000103932184,1.9141983264206326
938,0.3425292113782402,0.0618062640815812,0.021170450894099264,1.8718421777016128
1998,0.3306519194614192,0.0264581550340794,0.008748439747426165,3.165335057940171
575,0.3161664735410708,0.0773185417060052,0.024445530670525874,2.2944185303276523
157,0.3146841951039099,0.3146841951039099,0.09902614264819562,3.769655764141224
2017,0.3126565231276548,0.0058534179372941,0.0018301093006874221,2.904430115147205
718,0.3044230870022025,0.0392401134687557,0.011945596476475315,1.4995078530619042
117,0.3042009303328145,-0.0325798708716861,-0.009910827029289875,2.1609119346779
243,0.3039513847208427,-0.0439867410861172,-0.013369830862482508,1.9752977659499054
27,0.3007975555303376,0.0048830620095208,0.0014688131159669147,3.5329018726595836
828,0.2995823795885561,0.0050642210725005,0.0015171513996622096,2.8759955919516575
116,0.2992240478211425,-0.0288525207694129,-0.008633368054467313,1.1680909924381693
504,0.2936340006218271,-0.0413398123512962,-0.012138774485666724,1.9752977659499054
1697,0.2930286310320378,-0.0072311679277992,-0.002118939238645777,1.458693025741675
1298,0.29215246850346,-0.0768668292766561,-0.022456833919209107,2.233432234305729
1602,0.2915385233599601,-0.0361001251762304,-0.01052457718698793,1.9752977659499054
8,0.2894682643632318,0.0298096561898114,0.008628949438529376,1.236840407951553
879,0.285634608937454,-0.0322748658233016,-0.009218818677947552,0.14928918274372985
623,0.2833811059857257,-0.0408182164765101,-0.011567111329478203,2.520492377513009
1993,0.2822955447028903,-0.0338847717991091,-0.00956552011216264,1.9752977659499054
992,0.2805671935978427,0.0628182890681438,0.017624751070467147,2.7861198565241327
1846,0.2770416255082596,-0.0331245565307812,-0.00917688098552786,0.14928918274372985
1754,0.2768493799215351,0.0004851427236771,0.00013431146222344978,1.4453651906969425
446,0.2724453373992344,-0.0333881834560989,-0.009096454906844399,0.14928918274372985
114,0.2719710530228608,-0.0389483609477135,-0.010592826740464108,0.7176858050070996
903,0.2671523173178823,0.0384620881848752,0.01027523598747415,2.923597675794792
1417,0.2661236247262058,-0.0050221631647909,-0.0013365162653805878,0.7862278475759866
1672,0.2661064786590832,0.0494883156958241,0.013169161424584788,3.1290351208684113
1747,0.2659622067663827,-0.030215715410292,-0.008036238349546258,0.5444168787610806
1050,0.2640915216296807,0.062047260033432,0.01638615531518153,2.940865372113151
1057,0.2611469415195697,-0.0574984581759631,-0.015015546494743659,0.21225306848303704
1452,0.2596119496951712,0.04505732475543,0.011697419927805685,0.7462948247708373
556,0.2592408356452914,-0.0636241915751932,-0.01649398859120919,2.9685062873003996
806,0.2581265379768577,-0.0479782405893682,-0.012384457141554365,2.158484749020289
389,0.2563481981051854,0.0398881114105155,0.010225245485904533,2.0501157762980093
1515,0.2556951983636513,-0.0296398900805732,-0.007578777573628985,1.9752977659499054
719,0.2555163569514151,-0.0259399808777314,-0.006628089413267298,0.14928918274372985
28,0.2485938097828369,0.0049539637031582,0.0012315247104939878,1.9140627056161934
1915,0.2427926343958221,-0.0254184413354557,-0.006171410334070948,1.8622677741186704
402,0.2417262327563604,0.0754929337735325,0.01824862248080142,2.888493522884392
1357,0.2417260612078537,-0.0395254218594764,-0.00955432454367003,1.5819200263973612
1830,0.2411569975852867,0.1329545281227614,0.0320629148174537,4.806063128367481
1283,0.2407524893461114,0.0502117844292584,0.012088612095854276,1.9140627056161934
1966,0.2358677653009163,-0.0013529770336718,-0.00031912366943563,1.9634022476798616
1855,0.23183525162985,-0.0109478830470154,-0.0025381052210189845,1.8002352877090988
1970,0.2291852363203091,0.0030117819869697,0.0006902559664289007,2.0420686886150343
1686,0.2237189602016834,-0.030094143690831,-0.006732630534672762,0.14928918274372985
594,0.2195318333731095,-0.0540918160267848,-0.011874875542841013,1.889681055788883
1031,0.2108141604155099,0.0171858715628902,0.003623025084539485,3.7541649208125656
1802,0.2103435916989427,0.0287625562167787,0.0060500193810799855,2.773549183334906
562,0.2084046761619858,-0.0354492834453168,-0.007387796436595692,3.5329018726595836
144,0.2076206927514561,-0.0190261604713245,-0.003950224617456763,1.9752977659499054
807,0.2041667551121892,0.0251266823114298,0.005130033194259464,1.146710692159141
1362,0.2025442093259954,-0.0016542469278724,-0.00033505813603587224,2.461112001222283
1980,0.1998374217293647,0.0162212652722702,0.003241615829198558,2.1713814073787012
310,0.1956287393896436,-0.0191223473413578,-0.0037408807045607295,1.6042513857468002
1126,0.1953087470297917,0.0103553113224657,0.0020224828794941914,1.8622677741186704
1113,0.1887522046221843,-0.0197283134768962,-0.003723762662241708,2.2926347621408776
794,0.1869386902603891,-0.0305509239848954,-0.005711149715981053,3.3908510896080113
506,0.1813987791137318,0.0654931366774996,0.011880375033627199,3.1796551117149194
1928,0.176522038889762,0.0110030366088389,0.0019422784561709354,1.21086315503069
680,0.1762110167410831,0.008417927133557,0.0014833314990564301,0.3326236519330308
1687,0.1685564459049799,0.0099404148739482,0.0016755210019737074,2.2926347621408776
679,0.1674297303214778,0.0531066257997702,0.008891628035939158,3.0294959037068003
1415,0.1664617264259291,0.0247557996118593,0.004120893142444445,1.8206528928830363
2003,0.1647436034416618,-0.0268533765832345,-0.004423922022897992,3.3908510896080113
226,0.1640421820468558,-0.0176947001896552,-0.002902677229775952,3.881493800393323
1917,0.1608200080480714,0.0283050923961388,0.004552025186948446,1.1354422619188274
503,0.1597479354688959,-0.0651271736843515,-0.010403931538999359,3.3855209022771477
1665,0.1547515575624871,0.0115030405551954,0.0017801134426209443,1.0038659041301081
1534,0.1517420274585343,-0.0247572391724111,-0.003756713666297506,2.77451056780248
1750,0.1486212866564779,-0.0367716823590723,-0.005465054744728635,0.013470318747990368
1775,0.1483370609412606,-0.0302629667279719,-0.00448911953979051,2.7066511801885027
50,0.1481926418058043,0.0090726110286411,0.0013444941964108,3.080854526970826
1985,0.1481272468564512,-0.0781810624202046,-0.011580745532617268,3.100204295150702
1330,0.1452396877148593,-0.0418651016579183,-0.006080474290946891,3.1131653704460867
1212,0.1450618533473983,-0.0150553601085364,-0.002183958440156778,2.024801852721512
484,0.1443278572311939,-0.0461859346682875,-0.006665916984893847,3.1131653704460867
419,0.14283806233673,0.0030521486303623,0.00043596299632465524,1.3592240895972274
1317,0.1425496646888694,0.0047725242451552,0.0006803217308663733,3.080854526970826
342,0.1408392560917011,-0.0448878520769955,-0.006321971694078366,3.1131653704460867
517,0.1407166287006848,0.0217451255345459,0.0030599007558944754,2.3775241796585393
2010,0.1379232118070072,0.0223597883977659,0.003083933831144928,3.5025658760504443
392,0.1377002201233889,-0.0086863634960458,-0.0011961141654772767,1.0163873484124404
1460,0.1369711836749571,-0.0451379437337218,-0.006182597581861487,3.1131653704460867
1582,0.135420439794788,-0.0412547350971898,-0.005586734370478918,3.1131653704460867
1843,0.1302716039481651,-0.0067801782346494,-0.0008832646936822158,1.9574363208939363
280,0.1283529817518946,-0.0172716549219835,-0.002216868409026369,3.3225710612069657
1949,0.1226751184941933,0.0221067335364298,0.0027119461561010824,2.0356160621398063
1255,0.1177972655038904,0.0016686708708985,0.00019656486561783862,1.5248210667142215
809,0.1164080058428655,0.0273262494754484,0.0031809942086015973,2.8418101912817346
1260,0.1159759571990089,0.0047790013797488,0.0005542492594717513,1.9519282213808764
1959,0.1146739934372172,0.0519264070871881,0.0059546084655344765,2.9731883091190965
1986,0.110760609712258,-0.034534487065526,-0.0038250608434777468,2.910656101198872
352,0.1104113482064427,-0.0295540805660795,-0.003263105880302665,0.12588073369399977
247,0.1099925544519682,0.0175947990501098,0.0019352968925906405,2.752002088631393
465,0.1096379089427854,-0.0077161322694725,-0.000845980607150914,2.6341493932626756
492,0.108395967435019,-0.0370778252611783,-0.0040190867395720085,3.5439136838637504
1158,0.106154533830266,0.021328409119823,0.0022641073274560046,2.8418101912817346
1385,0.1050180489718113,-0.0093715800485509,-0.0009841850524819683,1.218612781065451
377,0.1042690813751588,-0.0214251580783607,-0.002233981551148233,2.780298365309834
1671,0.1027768880229819,0.0103025361840054,0.0010588626077362424,1.9655415910045406
1410,0.102284531884577,-0.008407148343521,-0.0008599212328012424,2.5913344014062494
1049,0.0994169241318189,0.0098871319383196,0.0009829482457932033,3.872802292274865
379,0.0951024983333925,-0.0203887820624844,-0.0019390241121173258,2.9818293683849997
1185,0.0951000153857367,-0.0218759758167087,-0.0020804056367470015,2.77451056780248
1881,0.0949261148432733,-0.0142280521752764,-0.001350613714786372,2.7196168374736756
1309,0.0923593561278539,-0.0010202298015034,-9.422776756930222e-05,2.3120295518220453
1869,0.0922654345498715,0.0359563708423825,0.0033175301806087506,3.043662807311541
268,0.0909266437233678,0.013272124906001,0.0012067897727799893,2.8120782715262576
704,0.0872047224019783,0.0580276880455572,0.00506028842764141,4.545016263168344
1594,0.0870499997997824,0.0032779324104774,0.0002853440156757579,0.612157229355559
203,0.0819292081751334,0.0077869641210917,0.0006379798045292166,1.967399397898298
351,0.0817923149088317,-0.0069704554468603,-0.0005701296869675788,2.6988922633174446
984,0.0809575396819118,0.0113822256831856,0.0009214769874149739,0.6087325054175845
582,0.0777179624317971,-0.0004328527404449,-3.364043302039716e-05,1.215640609193618
368,0.077669492715295,0.0009007055885604,6.995734614931748e-05,2.888493522884392
915,0.0771874236154041,0.0165008018036625,0.0012736543788131214,2.0208707923220564
