generation,Unicité externe,Unicité interne,IntDiv,Fraction valide,SNN,Nbr_Smiles,rate
38.0,0.6666666666666666,0.9230769230769231,0.4681179308219343,1.0,0.8668783390765427,13,1.5505254958464763
26.0,0.47058823529411764,0.9444444444444444,0.48398862012588284,1.0,0.9134146771701457,18,1.535848413170907
27.0,0.5,0.9411764705882353,0.45098060473558443,1.0,0.9031112220452095,17,1.5322379399190664
39.0,0.6363636363636364,0.9166666666666666,0.4443199431210756,1.0,0.9015243442193296,12,1.437347917838646
16.0,0.3684210526315789,0.95,0.4644934884702885,1.0,0.9238730386119732,20,1.4223534990960183
24.0,0.5384615384615384,1.0,0.4326247166758146,1.0,0.9016704158513549,13,1.3963579017500274
15.0,0.4666666666666667,1.0,0.3986880180466412,1.0,0.9038454310423103,15,1.3893530605050972
45.0,0.5833333333333334,1.0,0.3727946192547593,1.0,0.9132778143021391,12,1.3832311424207382
33.0,0.5454545454545454,0.9166666666666666,0.4677837644384062,1.0,0.8856307932455749,12,1.3345391281085783
9.0,0.75,1.0,0.41700965992288874,1.0,0.8262013993631641,8,1.3007817920482614
18.0,0.3157894736842105,1.0,0.46727247866039057,1.0,0.9294770965958725,19,1.3005067860724908
22.0,0.46153846153846156,1.0,0.4585134408014049,1.0,0.9159334239062352,13,1.3001093457696575
11.0,0.5454545454545454,1.0,0.36552728482388386,1.0,0.8908087831816645,11,1.2840245786466102
17.0,0.35714285714285715,0.9333333333333333,0.42009876455488115,1.0,0.9373799633054197,15,1.20599604229472
34.0,0.4166666666666667,1.0,0.472446987068211,1.0,0.9286761144030647,12,1.2016217859733358
46.0,0.5555555555555556,1.0,0.4343004250925969,1.0,0.8803599622808663,9,1.1988240887904327
40.0,0.45454545454545453,1.0,0.4278158750030462,1.0,0.9156417112299465,11,1.1939990038776145
14.0,0.5,1.0,0.3981903403183106,1.0,0.9054592389873172,10,1.1890921441649303
50.0,0.8,1.0,0.4905002752586767,1.0,0.8259429468183684,5,1.1155057603698983
28.0,0.4,1.0,0.4748065317859389,1.0,0.9044099168034965,10,1.1045203146768383
10.0,0.5714285714285714,1.0,0.4451947854566676,1.0,0.8716009480715362,7,1.10187886228418
37.0,0.4444444444444444,1.0,0.45010324270749624,1.0,0.9137115839243499,9,1.0986494901490642
13.0,0.4,1.0,0.42132660704221103,1.0,0.9243123194519007,10,1.091834089463252
41.0,0.5,0.8571428571428571,0.4606018570479239,1.0,0.9091117216117216,7,1.0083520563912698
49.0,0.42857142857142855,1.0,0.47696678932048253,1.0,0.9218163797461619,7,1.0032117198894803
44.0,0.375,1.0,0.46754105665771584,1.0,0.9172215496368039,8,1.0017860563678629
29.0,0.2727272727272727,0.8461538461538461,0.4425661779770258,1.0,0.9512621524816646,13,1.001778628738847
31.0,0.21428571428571427,0.875,0.46229445254766444,1.0,0.9605967561849915,16,1.0017563577481767
42.0,0.42857142857142855,1.0,0.4739500250082491,1.0,0.9453643484255728,7,1.0002535701590924
