generation,Unicité externe,Unicité interne,IntDiv,Fraction valide,SNN,Nbr_Smiles,rate
54.0,0.6666666666666666,1.0,0.43670570895135696,1.0,0.8632689076382372,21,2.101014251026448
51.0,0.6111111111111112,1.0,0.48190400554666213,1.0,0.8798600060274875,18,1.8083948005065837
48.0,0.6428571428571429,0.9333333333333333,0.5154857708812791,1.0,0.8631726529043255,15,1.6610656031715378
63.0,0.6,1.0,0.5003691686640996,1.0,0.8706419193846588,15,1.613009641794354
36.0,0.5,1.0,0.4407942943989994,1.0,0.8938627513520354,18,1.5987725837445965
52.0,0.4666666666666667,0.7894736842105263,0.4747999650780731,1.0,0.8871331229587569,19,1.5297554526495634
37.0,0.5333333333333333,1.0,0.4585633067747139,1.0,0.8989220075494586,15,1.5018204605999967
33.0,0.5,0.9333333333333333,0.4597499292711119,1.0,0.8918293813574952,15,1.4327670477184729
49.0,0.46153846153846156,0.8666666666666667,0.4946316036830518,1.0,0.9009613557517364,15,1.361137877469129
40.0,0.5,0.9230769230769231,0.45878966341408045,1.0,0.9034974122800268,13,1.3283312683778905
62.0,0.46153846153846156,0.9285714285714286,0.46001069284381,1.0,0.8987870102276883,14,1.326848712271268
34.0,0.46153846153846156,0.9285714285714286,0.4550958216585437,1.0,0.9010707475582082,14,1.325637364301163
53.0,0.375,0.9411764705882353,0.46482180660214767,1.0,0.9135949658248844,17,1.3214578059144118
57.0,0.4,1.0,0.44895267680550466,1.0,0.9057742393840483,15,1.2992131114226961
38.0,0.375,1.0,0.4532111062932276,1.0,0.9323511649354702,16,1.2974071047650986
58.0,0.6666666666666666,1.0,0.4096272930623127,1.0,0.8576260340966223,9,1.2961628552028004
68.0,0.5555555555555556,0.8181818181818182,0.4095123944506399,1.0,0.8950316446139337,11,1.248964970994391
50.0,0.3125,0.8421052631578947,0.4618099731695149,1.0,0.9422862906794618,19,1.244514944513325
46.0,0.4166666666666667,0.9230769230769231,0.4962797731454939,1.0,0.9192901260465978,13,1.2259166856141825
45.0,0.35714285714285715,0.9333333333333333,0.4805873070143519,1.0,0.9282213104178475,15,1.2190096160753714
56.0,0.45454545454545453,1.0,0.48047752324021875,1.0,0.9002891419029301,11,1.2060665904577506
42.0,0.3333333333333333,1.0,0.469520737294548,1.0,0.9307749766573296,15,1.2008266497931768
47.0,0.35714285714285715,1.0,0.4587641486813313,1.0,0.9351767512470178,14,1.1982351546115646
61.0,0.3125,1.0,0.44630711467640194,1.0,0.9388815012374108,16,1.1953732728115392
66.0,0.5,1.0,0.40402831359377944,1.0,0.9126974302057544,10,1.1895359196981805
60.0,0.36363636363636365,0.8461538461538461,0.4507394331967082,1.0,0.9165662768603945,13,1.1250646855267288
59.0,0.36363636363636365,1.0,0.49079138235200914,1.0,0.9256383896592094,11,1.1055944375044808
15.0,0.8,1.0,0.46001656527006163,1.0,0.8642035448827903,5,1.1055829585657333
55.0,0.4444444444444444,1.0,0.46555326248716355,1.0,0.9088819164163807,9,1.1022224608557945
39.0,0.3333333333333333,1.0,0.47299130312714444,1.0,0.9300592128178335,12,1.1015923393436455
31.0,0.4,1.0,0.4076084617907314,1.0,0.9077065527065526,10,1.0907510370874909
67.0,0.3076923076923077,1.0,0.4153685983489309,1.0,0.9486873793840412,13,1.0882049817313821
44.0,0.21428571428571427,0.875,0.46545595122541905,1.0,0.9582070228621954,16,1.0026276308160071
20.0,0.75,1.0,0.4395216486240827,1.0,0.8613310708898945,4,1.001771222635827
41.0,0.3333333333333333,1.0,0.46822395768680447,1.0,0.949712411976563,9,0.9986735503397046
35.0,0.3,1.0,0.4642004366294262,1.0,0.9506410256410257,10,0.9977759847617826
